target,MLP_RMSE,MLP_RMSE_cliff,SVM_RMSE,SVM_RMSE_cliff,RF_RMSE,RF_RMSE_cliff,GBM_RMSE,GBM_RMSE_cliff,KNN_RMSE,KNN_RMSE_cliff,GAT_RMSE,GAT_RMSE_cliff,GCN_RMSE,GCN_RMSE_cliff,AFP_RMSE,AFP_RMSE_cliff,MPNN_RMSE,MPNN_RMSE_cliff,CNN_RMSE,CNN_RMSE_cliff,LSTM_RMSE,LSTM_RMSE_cliff,Transformer_RMSE,Transformer_RMSE_cliff,KANO_RMSE,KANO_RMSE_cliff,KANO_Siams_RMSE,KANO_Siams_RMSE_cliff
A3EZJ3_IC50,0.6821681453655881,0.8041383480264447,0.8388958651983623,1.192862472315715,0.6043301703345909,0.7596681324035794,0.5629626333642274,0.7342477848163657,0.7187152474929689,0.9727872074862782,0.7872189309267384,0.8211658706415276,0.9765146590544532,1.3870156775573903,0.8077844059120334,1.0548911251509592,0.8494848219196797,1.1027755028456823,0.9207421825753584,1.0541113985646866,0.7425756388572216,1.0268991098254399,0.6413412309756106,0.874511545574697,0.653936735955961,0.8033328069190743,,
A3EZJ3_Ki,0.57310464113109,0.6104459405612561,1.220417803792449,1.0241039402263254,0.6655224362778144,0.6511452658355112,0.7028391429551821,0.6238453504803501,0.9400661271678645,0.7024861338494083,1.109626572022673,1.126057037135025,1.1468515164062107,0.8998791033834367,0.8498739869848139,0.7760917331218337,1.1545229154018521,1.1748687630941064,1.158729873663546,1.1467580069014176,0.8196521994663997,0.7063149022690135,0.8574181113452818,0.8913851251322882,0.791199880420831,0.6509736452845943,,
A4I591_IC50,0.5124675457933394,1.0675163000000003,0.39741872195953204,0.4196433656402423,0.31098779135241456,0.8407799999999988,0.3257960630812413,0.7115418414588923,0.357596750271744,0.4580000000000002,0.5608165001949658,0.3414080000000004,0.552603467001063,0.24718660000000003,0.5058274123057798,0.7258089999999999,0.4763550313355566,1.0584281999999998,0.49386235624530667,0.618379,0.3504154313549707,0.28478899999999996,0.3865707721033578,1.0359379999999998,0.3247153628417372,0.4561354013938965,,
A5X5Y0_Ki,0.9689610299444561,0.5910815672477989,1.4732871720966454,1.3145196338592808,0.9175042390581586,0.7352196122284609,0.7906075353112035,0.7210080784083963,1.0207160424662802,0.9493336153911793,1.3319471543710324,1.5071360772761946,1.076970445418846,1.0605065182700941,0.9463886689483344,0.9760317614642143,1.4421729467390019,1.4419742291249378,1.2563627477978163,1.014543481281125,1.059014893184593,1.0242265199129998,0.953996735684811,0.7962356766143167,0.7808305382442641,0.9507861030735123,,
B4URF0_IC50,0.778077108881085,0.8902998594202077,1.3722688941145436,1.2289458927387433,0.7194352904746787,0.858027297962794,0.7302269647177491,0.8793213873330112,0.7531432736652465,0.7900452238860278,0.9113403082461426,0.9449151949016337,0.9962138334368784,1.1151100146814827,0.9112520143909866,0.950807335125942,0.9428651285966695,1.034193973958516,1.2330489600297505,1.0570563379666904,0.71452061216703,0.861179266915296,0.8075859786040545,0.8604902485066197,0.7085312250032233,0.7993345035937861,,
C4YTQ8_EC50,0.7407479879360424,0.5400147563601807,0.5126187843515518,0.24183128166452775,0.49428829706974253,0.40110385014357586,0.5078826187372567,0.5060033185687459,0.5156626156978881,0.3803793235075565,0.7228830179043237,0.8003013636408975,0.66163810405648,0.871869605166245,0.630534824348351,0.8511156064851739,0.7708163128329444,0.6867549092986381,0.6820021558135418,0.21163343525657746,0.6016966343765509,0.32385913966560415,0.5471229585592489,0.4153145224314941,0.5814678281128949,0.27995811255855624,,
G5EF15_EC50,0.8426027391312783,0.8983190476747793,0.46921870566792445,0.955766674886515,0.4918379759244441,1.0376849032052036,0.5182051620782738,1.0596799720028687,0.5083680970405747,0.8492377233400558,,,,,,,,,,,,,0.5534228802029868,1.049173842054429,0.6019439163404144,0.9677688186161503,,
O00141_Ki,0.6555609258461197,0.2808063689894101,0.6096367809826029,0.6277191317868714,0.47045162599263257,0.3387763077115523,0.48241523970544475,0.25165457180861583,0.5081639582001878,0.394905575072245,0.6232863948796052,0.3702483933879618,0.8818376743690187,0.8678862659144784,0.589835875873885,0.5499954596994414,0.7192483096252164,0.9959974218634536,0.5802000382741899,0.47970941470063966,0.5141205282618152,0.30198879049466415,0.580615580322552,0.5284992009758579,0.49299167489805734,0.3384631848606555,,
O00255_IC50,0.8304474225616172,1.175886943738837,1.4031779058135325,1.1343628213168644,0.698577395213205,1.0167585772065195,0.6522322461999147,0.9743917188895467,0.7358217591913924,1.0286099399048574,0.9247877556114892,1.0969646588862452,1.0035994077937958,1.1205494003763443,0.8953203091773723,1.0877218527815729,0.9099112543822212,1.0154409489677039,1.0031775561385419,1.1976885657671021,0.7402165906571173,1.0229034520712401,0.86580183475299,1.160157252045649,0.712362890725969,1.0759226355268299,,
O00311_IC50,0.8751913413493647,0.9364372234944219,1.3153219473867006,1.4780438297713387,0.8606250829262112,1.00448147867149,0.7964942614509447,0.9629910877870641,0.9663877671757042,1.0995600258728027,1.157292489007952,1.2401617029952137,1.151707865717383,1.2692646416827535,1.1158848774052028,1.2849622325246703,1.0078181708867329,1.2508061586483479,1.1809494542752241,1.3673024670202434,0.9587279432743416,1.1718887025404583,0.8826971249125772,1.103659348235138,0.8437313203714312,0.9760209989713623,,
